YEAR,STATE,EDU_LEVEL,EDU_LEVEL_COUNT
2012,Indiana,Less than 1st grade,2
2012,Indiana,Master's degree,102
2012,Indiana,Professional school degree,37
2012,Indiana,Some college but no degree,417
2012,Iowa,10th grade,96
2012,Iowa,11th grade,132
2012,Iowa,12th grade no diploma,30
2012,Iowa,"1st,2nd,3rd,or 4th grade",17
2012,Iowa,5th or 6th grade,32
2012,Iowa,7th and 8th grade,91
2012,Iowa,9th grade,105
2012,Iowa,Associate degree in college - academic program,167
2012,Iowa,Associate degree in college - occupation/vocation program,179
2012,Iowa,Bachelor's degree,493
2012,Iowa,Children,875
2012,Iowa,Doctorate degree,27
2012,Iowa,High school graduate - high school diploma or equivalent,823
2012,Iowa,Less than 1st grade,1
2012,Iowa,Master's degree,133
2012,Iowa,Professional school degree,26
2012,Iowa,Some college but no degree,493
2012,Kansas,10th grade,72
2012,Kansas,11th grade,95
2012,Kansas,12th grade no diploma,38
2012,Kansas,"1st,2nd,3rd,or 4th grade",10
2012,Kansas,5th or 6th grade,18
2012,Kansas,7th and 8th grade,50
2012,Kansas,9th grade,70
2012,Kansas,Associate degree in college - academic program,103
2012,Kansas,Associate degree in college - occupation/vocation program,93
2012,Kansas,Bachelor's degree,423
2012,Kansas,Children,741
2012,Kansas,Doctorate degree,33
2012,Kansas,High school graduate - high school diploma or equivalent,533
2012,Kansas,Less than 1st grade,1
2012,Kansas,Master's degree,174
2012,Kansas,Professional school degree,26
2012,Kansas,Some college but no degree,397
2012,Kentucky,10th grade,99
2012,Kentucky,11th grade,106
2012,Kentucky,12th grade no diploma,23
2012,Kentucky,"1st,2nd,3rd,or 4th grade",8
2012,Kentucky,5th or 6th grade,18
2012,Kentucky,7th and 8th grade,84
2012,Kentucky,9th grade,76
2012,Kentucky,Associate degree in college - academic program,103
2012,Kentucky,Associate degree in college - occupation/vocation program,73
2012,Kentucky,Bachelor's degree,284
2012,Kentucky,Children,717
2012,Kentucky,Doctorate degree,31
2012,Kentucky,High school graduate - high school diploma or equivalent,752
2012,Kentucky,Less than 1st grade,4
2012,Kentucky,Master's degree,110
2012,Kentucky,Professional school degree,20
2012,Kentucky,Some college but no degree,402
2012,Louisiana,10th grade,66
2012,Louisiana,11th grade,83
2012,Louisiana,12th grade no diploma,24
2012,Louisiana,"1st,2nd,3rd,or 4th grade",8
2012,Louisiana,5th or 6th grade,21
2012,Louisiana,7th and 8th grade,60
2012,Louisiana,9th grade,62
2012,Louisiana,Associate degree in college - academic program,34
2012,Louisiana,Associate degree in college - occupation/vocation program,67
2012,Louisiana,Bachelor's degree,203
2012,Louisiana,Children,424
2012,Louisiana,Doctorate degree,15
2012,Louisiana,High school graduate - high school diploma or equivalent,489
2012,Louisiana,Less than 1st grade,3
2012,Louisiana,Master's degree,47
2012,Louisiana,Professional school degree,19
2012,Louisiana,Some college but no degree,270
2012,Maine,10th grade,95
2012,Maine,11th grade,105
2012,Maine,12th grade no diploma,12
2012,Maine,"1st,2nd,3rd,or 4th grade",5
2012,Maine,5th or 6th grade,6
2012,Maine,7th and 8th grade,68
2012,Maine,9th grade,80
2012,Maine,Associate degree in college - academic program,147
2012,Maine,Associate degree in college - occupation/vocation program,112
2012,Maine,Bachelor's degree,427
2012,Maine,Children,688
2012,Maine,Doctorate degree,29
2012,Maine,High school graduate - high school diploma or equivalent,812
2012,Maine,Less than 1st grade,2
2012,Maine,Master's degree,151
2012,Maine,Professional school degree,19
2012,Maine,Some college but no degree,460
2012,Maryland,10th grade,158
2012,Maryland,11th grade,148
2012,Maryland,12th grade no diploma,47
2012,Maryland,"1st,2nd,3rd,or 4th grade",23
2012,Maryland,5th or 6th grade,38
2012,Maryland,7th and 8th grade,78
2012,Maryland,9th grade,134
2012,Maryland,Associate degree in college - academic program,186
2012,Maryland,Associate degree in college - occupation/vocation program,85
2012,Maryland,Bachelor's degree,728
2012,Maryland,Children,1092
2012,Maryland,Doctorate degree,110
2012,Maryland,High school graduate - high school diploma or equivalent,990
2012,Maryland,Less than 1st grade,5
2012,Maryland,Master's degree,415
2012,Maryland,Professional school degree,77
